round,date,win 1,win 2,win 3
381,2010.3.20,19,62,"1,981"
380,2010.3.13,4,42,"1,464"
379,2010.3.6,7,71,"1,342"
378,2010.2.27,5,30,"1,124"
377,2010.2.20,3,22,"1,198"
376,2010.2.13,6,51,"1,411"
375,2010.2.6,7,42,"1,279"
374,2010.1.30,2,27,"1,398"
373,2010.1.23,4,29,"1,117"
372,2010.1.16,9,37,"1,368"
371,2010.1.9,7,29,"1,201"
370,2010.1.2,7,32,"1,168"
369,2009.12.26,6,31,"1,157"
368,2009.12.19,7,38,"1,195"
367,2009.12.12,7,37,"1,049"
366,2009.12.5,2,39,"1,617"
365,2009.11.28,1,35,"1,181"
364,2009.11.21,4,37,"1,259"
363,2009.11.14,4,33,"1,216"
362,2009.11.7,6,26,"1,173"
361,2009.10.31,7,34,"1,463"
360,2009.10.24,3,33,"1,208"
359,2009.10.17,8,37,"1,656"
358,2009.10.10,3,44,"1,382"
357,2009.10.3,2,27,"1,116"
356,2009.9.26,9,37,"1,263"
355,2009.9.19,5,24,"1,094"
354,2009.9.12,5,34,"1,014"
353,2009.9.5,2,29,"1,042"
352,2009.8.29,6,29,"1,166"
351,2009.8.22,4,29,"1,137"
350,2009.8.15,9,23,"1,197"
349,2009.8.8,3,37,"1,168"
348,2009.8.1,3,37,"1,222"
347,2009.7.25,7,38,"1,399"
346,2009.7.18,5,26,"1,146"
345,2009.7.11,2,38,"1,028"
344,2009.7.4,7,23,"1,106"
343,2009.6.27,6,29,"1,096"
342,2009.6.20,3,29,"1,177"
341,2009.6.13,7,33,"1,235"
340,2009.6.6,7,35,"1,125"
339,2009.5.30,9,32,"1,107"
338,2009.5.23,3,39,"1,123"
337,2009.5.16,8,33,"1,194"
336,2009.5.9,6,30,989
335,2009.5.2,5,28,"1,222"
334,2009.4.25,7,31,"1,055"
333,2009.4.18,7,36,"1,365"
332,2009.4.11,8,37,"1,098"
331,2009.4.4,5,45,"1,365"
330,2009.3.28,9,32,"1,431"
